"";"Date";"Team_home";"Team_away";"Final_H";"Final_A";"nb_matchs";"unique_teamgoal";"pdata";"pred"
"155";2019-02-10;"FC Nantes";"Nîmes Olympique";2;4;23;0;0,166813574353876;0
"156";2018-12-16;"Nîmes Olympique";"LOSC";2;3;17;0;0,290484381311264;0
"157";2019-02-24;"Montpellier Hérault SC";"Stade de Reims";2;4;26;0;0,490141164104956;0
"158";2018-12-22;"Stade de Reims";"SM Caen";2;2;19;0;0,197903079403366;0
"159";2019-03-31;"FC Nantes";"LOSC";2;3;29;0;0,124488497794317;0
"160";2019-02-03;"Olympique Lyonnais";"Paris Saint-Germain";2;1;23;0;0,522728267360414;1
"161";2018-10-07;"Girondins de Bordeaux";"FC Nantes";3;0;9;1;1,04678468040733;1
"162";2019-02-23;"Paris Saint-Germain";"Nîmes Olympique";3;0;25;1;0,347778495121167;0
"163";2019-02-17;"AS Saint-Etienne";"Paris Saint-Germain";0;1;25;1;0,387022833453523;0
"164";2019-02-13;"SM Caen";"FC Nantes";0;1;24;1;0,561560458531016;1
"165";2018-10-27;"EA Guingamp";"RC Strasbourg Alsace";1;1;11;0;0,465544878266778;0
"166";2019-01-27;"Toulouse FC";"Angers SCO";0;0;22;1;0,708023444768524;1
"167";2018-10-20;"SM Caen";"EA Guingamp";0;0;10;1;0,741753077054222;1
"168";2018-12-22;"AS Saint-Etienne";"Dijon FCO";3;0;18;1;0,549792197960651;1
"169";2019-02-24;"FC Nantes";"Girondins de Bordeaux";1;0;26;1;0,523317927238006;1
"170";2018-12-05;"FC Nantes";"Olympique de Marseille";3;2;16;0;0,264162876284553;0
"171";2019-02-15;"Nîmes Olympique";"Dijon FCO";2;0;25;1;0,700358189606586;1
"172";2018-12-04;"OGC Nice";"Angers SCO";0;0;16;1;0,855999269951875;1
"173";2019-04-09;"Nîmes Olympique";"Stade Rennais FC";3;1;31;0;0,259238937306077;0
"174";2019-02-17;"LOSC";"Montpellier Hérault SC";0;0;25;1;0,611523041698023;1
"175";2019-02-09;"Paris Saint-Germain";"Girondins de Bordeaux";1;0;22;1;0,493593663447037;0
"176";2019-03-10;"Toulouse FC";"EA Guingamp";1;0;28;1;0,591785677304554;1
"177";2019-01-13;"Olympique de Marseille";"AS Monaco";1;1;18;0;0,480430760180766;0
"178";2018-12-09;"RC Strasbourg Alsace";"SM Caen";2;2;17;0;0,601747481921761;1
"179";2019-03-16;"Nîmes Olympique";"RC Strasbourg Alsace";2;2;28;0;0,323590246412543;0
"180";2018-12-02;"Toulouse FC";"Dijon FCO";2;2;15;0;0,608796938386104;1
"181";2018-12-05;"Dijon FCO";"EA Guingamp";2;1;16;0;0,933951648607139;1
"182";2019-02-20;"Girondins de Bordeaux";"EA Guingamp";0;0;25;1;0,421576116204974;0
"183";2018-12-18;"SM Caen";"Toulouse FC";2;1;18;0;0,552536387984474;1
"184";2019-02-24;"Stade Rennais FC";"Olympique de Marseille";1;1;26;0;0,24038371325748;0
"185";2019-04-06;"Nîmes Olympique";"SM Caen";2;0;30;1;0,606218225926906;1
"186";2019-01-26;"RC Strasbourg Alsace";"Girondins de Bordeaux";1;0;22;1;0,706701759626679;1
"187";2019-03-30;"Olympique de Marseille";"Angers SCO";2;2;30;0;0,48716769663675;0
"188";2018-11-25;"OGC Nice";"LOSC";2;0;14;1;0,905314855816704;1
